ENSEMBL_gene,HGNC_symbol,HGNC_symbol_unique
ENSG00000243485,MIR1302-2HG,MIR1302-2HG-243485
ENSG00000237613,FAM138A,FAM138A-237613
ENSG00000290826,ENSG00000290826.1,ENSG00000290826.1-290826
ENSG00000238009,ENSG00000238009.6,ENSG00000238009.6-238009
ENSG00000239945,ENSG00000239945.1,ENSG00000239945.1-239945
ENSG00000268903,ENSG00000268903.1,ENSG00000268903.1-268903
ENSG00000269981,ENSG00000269981.1,ENSG00000269981.1-269981
ENSG00000239906,ENSG00000239906.1,ENSG00000239906.1-239906
ENSG00000241860,ENSG00000241860.7,ENSG00000241860.7-241860
ENSG00000241599,ENSG00000241599.1,ENSG00000241599.1-241599
ENSG00000228463,ENSG00000228463.10,ENSG00000228463.10-228463
ENSG00000286448,ENSG00000286448.1,ENSG00000286448.1-286448
ENSG00000236679,RPL23AP24,RPL23AP24-236679
ENSG00000236601,ENSG00000236601.2,ENSG00000236601.2-236601
ENSG00000290385,ENSG00000290385.1,ENSG00000290385.1-290385
ENSG00000237094,ENSG00000237094.13,ENSG00000237094.13-237094
ENSG00000250575,ENSG00000250575.1,ENSG00000250575.1-250575
ENSG00000278757,U6,U6-278757
ENSG00000230021,ENSG00000230021.10,ENSG00000230021.10-230021
ENSG00000235146,ENSG00000235146.2,ENSG00000235146.2-235146
ENSG00000225972,MTND1P23,MTND1P23-225972
ENSG00000225630,MTND2P28,MTND2P28-225630
ENSG00000237973,MTCO1P12,MTCO1P12-237973
ENSG00000278791,ENSG00000278791.1,ENSG00000278791.1-278791
ENSG00000229344,MTCO2P12,MTCO2P12-229344
ENSG00000240409,MTATP8P1,MTATP8P1-240409
ENSG00000248527,MTATP6P1,MTATP6P1-248527
ENSG00000198744,MTCO3P12,MTCO3P12-198744
ENSG00000291215,ENSG00000291215.1,ENSG00000291215.1-291215
ENSG00000229905,ENSG00000229905.1,ENSG00000229905.1-229905
ENSG00000228327,ENSG00000228327.6,ENSG00000228327.6-228327
ENSG00000237491,LINC01409,LINC01409-237491
ENSG00000285268,ENSG00000285268.1,ENSG00000285268.1-285268
ENSG00000290784,ENSG00000290784.1,ENSG00000290784.1-290784
ENSG00000230092,ENSG00000230092.8,ENSG00000230092.8-230092
ENSG00000177757,FAM87B,FAM87B-177757
ENSG00000225880,LINC00115,LINC00115-225880
ENSG00000228794,LINC01128,LINC01128-228794
ENSG00000288531,ENSG00000288531.1,ENSG00000288531.1-288531
ENSG00000230368,FAM41C,FAM41C-230368
ENSG00000283040,ENSG00000283040.1,ENSG00000283040.1-283040
ENSG00000272438,ENSG00000272438.1,ENSG00000272438.1-272438
ENSG00000230699,ENSG00000230699.2,ENSG00000230699.2-230699
ENSG00000241180,ENSG00000241180.1,ENSG00000241180.1-241180
ENSG00000223764,LINC02593,LINC02593-223764
ENSG00000272512,ENSG00000272512.1,ENSG00000272512.1-272512
ENSG00000231702,ENSG00000231702.2,ENSG00000231702.2-231702
ENSG00000224969,ENSG00000224969.1,ENSG00000224969.1-224969
ENSG00000242590,ENSG00000242590.1,ENSG00000242590.1-242590
ENSG00000291156,ENSG00000291156.1,ENSG00000291156.1-291156
ENSG00000273443,ENSG00000273443.1,ENSG00000273443.1-273443
ENSG00000217801,ENSG00000217801.13,ENSG00000217801.13-217801
ENSG00000285812,ENSG00000285812.1,ENSG00000285812.1-285812
ENSG00000223823,LINC01342,LINC01342-223823
ENSG00000272141,ENSG00000272141.1,ENSG00000272141.1-272141
ENSG00000205231,TTLL10-AS1,TTLL10-AS1-205231
ENSG00000260179,ENSG00000260179.1,ENSG00000260179.1-260179
ENSG00000230415,LINC01786,LINC01786-230415
ENSG00000240731,ENSG00000240731.1,ENSG00000240731.1-240731
ENSG00000175756,AURKAIP1,AURKAIP1-175756
ENSG00000224870,MRPL20-AS1,MRPL20-AS1-224870
ENSG00000242485,MRPL20,MRPL20-242485
ENSG00000272455,MRPL20-DT,MRPL20-DT-272455
ENSG00000225905,ANKRD65-AS1,ANKRD65-AS1-225905
ENSG00000205116,TMEM88B,TMEM88B-205116
ENSG00000225285,LINC01770,LINC01770-225285
ENSG00000215915,ATAD3C,ATAD3C-215915
ENSG00000160072,ATAD3B,ATAD3B-160072
ENSG00000290916,ENSG00000290916.1,ENSG00000290916.1-290916
ENSG00000284740,ENSG00000284740.3,ENSG00000284740.3-284740
ENSG00000197785,ATAD3A,ATAD3A-197785
ENSG00000215014,SSU72-AS1,SSU72-AS1-215014
ENSG00000274481,ENSG00000274481.1,ENSG00000274481.1-274481
ENSG00000286989,ENSG00000286989.1,ENSG00000286989.1-286989
ENSG00000272106,ENSG00000272106.1,ENSG00000272106.1-272106
ENSG00000272004,ENSG00000272004.1,ENSG00000272004.1-272004
ENSG00000269737,ENSG00000269737.2,ENSG00000269737.2-269737
ENSG00000268575,ENSG00000268575.1,ENSG00000268575.1-268575
ENSG00000227775,ENSG00000227775.3,ENSG00000227775.3-227775
ENSG00000290854,ENSG00000290854.1,ENSG00000290854.1-290854
ENSG00000231050,GNB1-DT,GNB1-DT-231050
ENSG00000233542,ENSG00000233542.2,ENSG00000233542.2-233542
ENSG00000226969,PRKCZ-DT,PRKCZ-DT-226969
ENSG00000271806,ENSG00000271806.1,ENSG00000271806.1-271806
ENSG00000182873,PRKCZ-AS1,PRKCZ-AS1-182873
ENSG00000234396,ENSG00000234396.3,ENSG00000234396.3-234396
ENSG00000287356,ENSG00000287356.1,ENSG00000287356.1-287356
ENSG00000272161,ENSG00000272161.1,ENSG00000272161.1-272161
ENSG00000269896,ENSG00000269896.2,ENSG00000269896.2-269896
ENSG00000272420,ENSG00000272420.1,ENSG00000272420.1-272420
ENSG00000224387,ENSG00000224387.1,ENSG00000224387.1-224387
ENSG00000229393,ENSG00000229393.1,ENSG00000229393.1-229393
ENSG00000272449,ENSG00000272449.3,ENSG00000272449.3-272449
ENSG00000238164,TNFRSF14-AS1,TNFRSF14-AS1-238164
ENSG00000225931,ENSG00000225931.3,ENSG00000225931.3-225931
ENSG00000228037,ENSG00000228037.1,ENSG00000228037.1-228037
ENSG00000289610,ENSG00000289610.2,ENSG00000289610.2-289610
ENSG00000237058,MMEL1-AS1,MMEL1-AS1-237058
ENSG00000285945,ENSG00000285945.1,ENSG00000285945.1-285945
ENSG00000283259,ENSG00000283259.1,ENSG00000283259.1-283259
ENSG00000233234,ENSG00000233234.1,ENSG00000233234.1-233234
ENSG00000287396,ENSG00000287396.1,ENSG00000287396.1-287396
ENSG00000231630,ENSG00000231630.1,ENSG00000231630.1-231630
ENSG00000284745,ENSG00000284745.1,ENSG00000284745.1-284745
ENSG00000177133,PRDM16-DT,PRDM16-DT-177133
ENSG00000226286,ENSG00000226286.1,ENSG00000226286.1-226286
ENSG00000279839,ENSG00000279839.1,ENSG00000279839.1-279839
ENSG00000272235,ENSG00000272235.1,ENSG00000272235.1-272235
ENSG00000287828,ENSG00000287828.1,ENSG00000287828.1-287828
ENSG00000286518,ENSG00000286518.1,ENSG00000286518.1-286518
ENSG00000272088,ENSG00000272088.1,ENSG00000272088.1-272088
ENSG00000238260,ENSG00000238260.3,ENSG00000238260.3-238260
ENSG00000227589,TP73-AS3,TP73-AS3-227589
ENSG00000235131,TP73-AS2,TP73-AS2-235131
ENSG00000227372,TP73-AS1,TP73-AS1-227372
ENSG00000276189,ENSG00000276189.1,ENSG00000276189.1-276189
ENSG00000272153,ENSG00000272153.1,ENSG00000272153.1-272153
ENSG00000236423,LINC01134,LINC01134-236423
ENSG00000233304,LINC01346,LINC01346-233304
ENSG00000226374,LINC01345,LINC01345-226374
ENSG00000284668,LINC02780,LINC02780-284668
ENSG00000284703,ENSG00000284703.1,ENSG00000284703.1-284703
ENSG00000235054,LINC01777,LINC01777-235054
ENSG00000284694,ENSG00000284694.1,ENSG00000284694.1-284694
ENSG00000227169,ENSG00000227169.2,ENSG00000227169.2-227169
ENSG00000232596,LINC01646,LINC01646-232596
ENSG00000287586,ENSG00000287586.1,ENSG00000287586.1-287586
ENSG00000284739,ENSG00000284739.1,ENSG00000284739.1-284739
ENSG00000284674,LINC02781,LINC02781-284674
ENSG00000231510,LINC02782,LINC02782-231510
ENSG00000284616,ENSG00000284616.1,ENSG00000284616.1-284616
ENSG00000284692,ENSG00000284692.2,ENSG00000284692.2-284692
ENSG00000284666,ENSG00000284666.1,ENSG00000284666.1-284666
ENSG00000260972,ENSG00000260972.1,ENSG00000260972.1-260972
ENSG00000283356,ENSG00000283356.1,ENSG00000283356.1-283356
ENSG00000236948,ENSG00000236948.2,ENSG00000236948.2-236948
ENSG00000264341,ENSG00000264341.1,ENSG00000264341.1-264341
ENSG00000289893,ENSG00000289893.1,ENSG00000289893.1-289893
ENSG00000285629,ENSG00000285629.1,ENSG00000285629.1-285629
ENSG00000116251,RPL22,RPL22-116251
ENSG00000226944,RNF207-AS1,RNF207-AS1-226944
ENSG00000225077,ICMT-DT,ICMT-DT-225077
ENSG00000271746,ENSG00000271746.1,ENSG00000271746.1-271746
ENSG00000231868,ENSG00000231868.1,ENSG00000231868.1-231868
ENSG00000162408,NOL9,NOL9-162408
ENSG00000229519,ENSG00000229519.2,ENSG00000229519.2-229519
ENSG00000228750,LINC01672,LINC01672-228750
ENSG00000284744,ENSG00000284744.1,ENSG00000284744.1-284744
ENSG00000237436,CAMTA1-DT,CAMTA1-DT-237436
ENSG00000227950,ENSG00000227950.1,ENSG00000227950.1-227950
ENSG00000237365,CAMTA1-AS3,CAMTA1-AS3-237365
ENSG00000237402,CAMTA1-IT1,CAMTA1-IT1-237402
ENSG00000237728,CAMTA1-AS2,CAMTA1-AS2-237728
ENSG00000225126,CAMTA1-AS1,CAMTA1-AS1-225126
ENSG00000270171,ENSG00000270171.1,ENSG00000270171.1-270171
ENSG00000270035,ENSG00000270035.1,ENSG00000270035.1-270035
ENSG00000269978,ENSG00000269978.1,ENSG00000269978.1-269978
ENSG00000269925,ENSG00000269925.1,ENSG00000269925.1-269925
ENSG00000236266,ENSG00000236266.1,ENSG00000236266.1-236266
ENSG00000270330,ENSG00000270330.1,ENSG00000270330.1-270330
ENSG00000200344,Y_RNA,Y_RNA-200344
ENSG00000284747,ENSG00000284747.1,ENSG00000284747.1-284747
ENSG00000284716,ENSG00000284716.1,ENSG00000284716.1-284716
ENSG00000238290,ERRFI1-DT,ERRFI1-DT-238290
ENSG00000232848,RPL7AP18,RPL7AP18-232848
ENSG00000229305,ENSG00000229305.1,ENSG00000229305.1-229305
ENSG00000288816,ENSG00000288816.1,ENSG00000288816.1-288816
ENSG00000227634,LINC01714,LINC01714-227634
ENSG00000233645,ENSG00000233645.1,ENSG00000233645.1-233645
ENSG00000252254,Y_RNA,Y_RNA-252254
ENSG00000232912,RERE-AS1,RERE-AS1-232912
ENSG00000221083,ENSG00000221083.1,ENSG00000221083.1-221083
ENSG00000270282,ENSG00000270282.1,ENSG00000270282.1-270282
ENSG00000234619,RPL7P11,RPL7P11-234619
ENSG00000224315,RPL7P7,RPL7P7-224315
ENSG00000222511,Y_RNA,Y_RNA-222511
ENSG00000226545,ENSG00000226545.1,ENSG00000226545.1-226545
ENSG00000228423,ENSG00000228423.2,ENSG00000228423.2-228423
ENSG00000229716,RPL23AP19,RPL23AP19-229716
ENSG00000230679,ENO1-AS1,ENO1-AS1-230679
ENSG00000232208,ENSG00000232208.2,ENSG00000232208.2-232208
ENSG00000232663,ENSG00000232663.2,ENSG00000232663.2-232663
ENSG00000290109,ENSG00000290109.1,ENSG00000290109.1-290109
ENSG00000252404,ENSG00000252404.1,ENSG00000252404.1-252404
ENSG00000228526,MIR34AHG,MIR34AHG-228526
ENSG00000289914,ENSG00000289914.1,ENSG00000289914.1-289914
ENSG00000234546,LNCTAM34A,LNCTAM34A-234546
ENSG00000284652,ENSG00000284652.1,ENSG00000284652.1-284652
ENSG00000284693,LINC02606,LINC02606-284693
ENSG00000252956,RNA5SP40,RNA5SP40-252956
ENSG00000235263,ENSG00000235263.1,ENSG00000235263.1-235263
ENSG00000231181,ENSG00000231181.1,ENSG00000231181.1-231181
ENSG00000179840,PIK3CD-AS1,PIK3CD-AS1-179840
ENSG00000233268,ENSG00000233268.3,ENSG00000233268.3-233268
ENSG00000231789,PIK3CD-AS2,PIK3CD-AS2-231789
ENSG00000280113,ENSG00000280113.2,ENSG00000280113.2-280113
ENSG00000223989,ENSG00000223989.1,ENSG00000223989.1-223989
ENSG00000285701,ENSG00000285701.1,ENSG00000285701.1-285701
ENSG00000228150,ENSG00000228150.1,ENSG00000228150.1-228150
ENSG00000202415,RN7SKP269,RN7SKP269-202415
ENSG00000241326,ENSG00000241326.1,ENSG00000241326.1-241326
ENSG00000224340,RPL21P21,RPL21P21-224340
ENSG00000264881,ENSG00000264881.1,ENSG00000264881.1-264881
ENSG00000284735,ENSG00000284735.1,ENSG00000284735.1-284735
ENSG00000284642,ENSG00000284642.1,ENSG00000284642.1-284642
ENSG00000271989,ENSG00000271989.1,ENSG00000271989.1-271989
ENSG00000203469,ENSG00000203469.2,ENSG00000203469.2-203469
ENSG00000287727,ENSG00000287727.1,ENSG00000287727.1-287727
ENSG00000272078,ENSG00000272078.1,ENSG00000272078.1-272078
ENSG00000175262,C1orf127,C1orf127-175262
